SpNo,Latitude,Longitude
385,-38.50000000,146.50000000
385,-38.41666700,146.75000000
385,-38.28333300,147.00000000
385,-38.25000000,146.91666700
385,-38.20000000,146.78333300
385,-38.14811000,147.18446000
385,-38.08333300,146.41666700
385,-38.08333300,146.50000000
385,-38.08333300,147.08333300
385,-38.08333300,147.41666700
385,-38.08333300,147.58333300
385,-38.05025000,144.13563000
385,-37.98333300,144.25000000
385,-37.98333300,146.78333300
385,-37.98333300,147.68333300
385,-37.97350000,144.40966000
385,-37.97350000,144.44300000
385,-37.96666700,145.05000000
385,-37.95683000,144.40966000
385,-37.95683000,144.42633000
385,-37.95000000,144.36666700
385,-37.95000000,144.41667000
385,-37.95000000,144.43333300
385,-37.95000000,145.15000000
385,-37.94905000,144.43541000
385,-37.94849000,145.23465000
385,-37.94017000,144.42633000
385,-37.94016000,145.34298000
385,-37.94016000,145.40965000
385,-37.93879000,144.37888000
385,-37.93333300,144.43333300
385,-37.93333000,144.41667000
385,-37.92976000,147.30112000
385,-37.92833000,144.43056000
385,-37.92528152,144.79170227
385,-37.91666700,144.25000000
385,-37.91666700,144.25000000
385,-37.91666700,144.41666700
385,-37.91666700,144.41666700
385,-37.91666700,145.11666700
385,-37.91666700,145.41666700
385,-37.91666700,145.41666700
385,-37.91666700,145.58333300
385,-37.91666700,145.75000000
385,-37.91666700,146.58333300
385,-37.91666700,146.75000000
385,-37.91666700,146.75000000
385,-37.91666700,147.08333300
385,-37.91666700,147.25000000
385,-37.91666700,147.41666700
385,-37.91666700,147.58333300
385,-37.91666700,147.75000000
385,-37.91666700,148.08333300
385,-37.91279000,144.42530000
385,-37.90705000,144.17531000
385,-37.90684000,144.10967000
385,-37.90680000,147.29295000
385,-37.90000000,145.08333300
385,-37.89897000,147.58193000
385,-37.89075000,145.42332000
385,-37.89017000,144.17633000
385,-37.88881000,145.55300000
385,-37.88569000,145.44958000
385,-37.88334000,147.26666000
385,-37.88333300,144.21666700
385,-37.88333300,147.50000000
385,-37.87349000,145.45965000
385,-37.85939000,145.50697000
385,-37.84090000,146.93706000
385,-37.83584000,144.21211000
385,-37.83333300,145.06666700
385,-37.83333300,147.25000000
385,-37.83333300,148.08333300
385,-37.82583000,144.27306000
385,-37.81666946,144.26809692
385,-37.81666700,144.21666700
385,-37.80272000,144.29853000
385,-37.80222000,144.79639000
385,-37.80169000,144.29289000
385,-37.78085000,144.57748000
385,-37.75000000,141.41666700
385,-37.75000000,141.58333300
