SourceType,SourceDesc,SourceProvider,DataProcessingType,SiteName,SearchTypeDesc,SourcePrimaryKey,StartDate,FinishDate,StartTime,FinishTime,DurationInMinutes,AreaInM2,LengthInKm,LocationName,ManagementCategory,Y,X,ProjectionReference,PositionalAccuracyInM,SurveyComments,SpNo,TaxonID,ScientificName,Breeding,Count,UnitOfMeasurement,UnitType,SightingComments
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_1,00/00/1986,00/00/1986,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,30164,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_2,00/00/1989,00/00/1989,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,54936,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_3,00/00/1991,00/00/1991,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,41843,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_4,00/00/1993,00/00/1993,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,35010,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_5,00/00/1995,00/00/1995,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,19780,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_6,00/00/1996,00/00/1996,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,39665,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_7,00/00/1997,00/00/1997,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,42605,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_8,00/00/1999,00/00/1999,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,40810,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_9,00/00/2000,00/00/2000,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,41457,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_10,00/00/2006,00/00/2006,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,39052,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
